keyword,package,filename,extension
538,g538schemes,scheme-538.scheme,scheme
538bw,g538schemes,scheme-538bw.scheme,scheme
538w,g538schemes,scheme-538w.scheme,scheme
ChkIn,gformula,ChkIn.ado,ado
EXPmixtureLEandUC_loglik,stcrmix,EXPmixtureLEandUC_loglik.ado,ado
Fhat,m_stats,Fhat.ado,ado
GGmixtureLEandUC_loglik,stcrmix,GGmixtureLEandUC_loglik.ado,ado
LNmixtureLEandUC_loglik,stcrmix,LNmixtureLEandUC_loglik.ado,ado
Mst_iter,m_stats,Mst_iter.ado,ado
Smat,m_stats,Smat.ado,ado
WEmixtureLEandUC_loglik,stcrmix,WEmixtureLEandUC_loglik.ado,ado
__geoplot_layer,geoplot,__geoplot_layer.ado,ado
_adjksm,adjksm,_adjksm.ado,ado
_api_read,wbopendata,_api_read.ado,ado
_api_read_indicators,wbopendata,_api_read_indicators.ado,ado
_binom,williams,_binom.ado,ado
_bsqregtrace,grqreg,_bsqregtrace.ado,ado
_cauchyden,regmain,_cauchyden.ado,ado
_cauchyevaluator,regmain,_cauchyevaluator.ado,ado
_cauchyreg,regmain,_cauchyreg.ado,ado
_char2dlg,ckvar,_char2dlg.ado,ado
_ck4like,ckvar,_ck4like.ado,ado
_ckneeded,ckvar,_ckneeded.ado,ado
_ckvarnext,ckvar,_ckvarnext.ado,ado
_compile_mata,malmq2,_compile_mata.ado,ado
_countrymetadata,wbopendata,_countrymetadata.ado,ado
_cu_c0,cusum6,_cu_c0.ado,ado
_cureregr8,cureregr8,_cureregr8.ado,ado
_cureregr8_gen,cureregr8,_cureregr8_gen.ado,ado
_ddml_allcombos,ddml,_ddml_allcombos.ado,ado
_ddml_copy,ddml,_ddml_copy.ado,ado
_ddml_crossfit,ddml,_ddml_crossfit.ado,ado
_ddml_describe,ddml,_ddml_describe.ado,ado
_ddml_drop,ddml,_ddml_drop.ado,ado
_ddml_estimate_ate_late,ddml,_ddml_estimate_ate_late.ado,ado
_ddml_estimate_linear,ddml,_ddml_estimate_linear.ado,ado
_ddml_export,ddml,_ddml_export.ado,ado
_ddml_extract,ddml,_ddml_extract.ado,ado
_ddml_nnls,ddml,_ddml_nnls.ado,ado
_ddml_nnls_p,ddml,_ddml_nnls_p.ado,ado
_ddml_overlap,ddml,_ddml_overlap.ado,ado
_ddml_sample,ddml,_ddml_sample.ado,ado
_ddml_save,ddml,_ddml_save.ado,ado
_ddml_use,ddml,_ddml_use.ado,ado
_desspss,usespss,_desspss.ado,ado
_diff,m_stats,_diff.ado,ado
_digdis,digdis,_digdis.ado,ado
_ebin,alorenz,_ebin.ado,ado
_egb2den,regmain,_egb2den.ado,ado
_egb2evaluator,regmain,_egb2evaluator.ado,ado
_egb2reg,regmain,_egb2reg.ado,ado
_eststo,estout,_eststo.ado,ado
_eventgenvars,xtevent,_eventgenvars.ado,ado
_eventiv,xtevent,_eventiv.ado,ado
_eventivstatic,xtevent,_eventivstatic.ado,ado
_eventols,xtevent,_eventols.ado,ado
_eventolsstatic,xtevent,_eventolsstatic.ado,ado
_ex_adecomp,adecomp,_ex_adecomp.ado,ado
_ex_drdecomp,drdecomp,_ex_drdecomp.ado,ado
_ex_skdecomp,skdecomp,_ex_skdecomp.ado,ado
_expevaluator,regmain,_expevaluator.ado,ado
_expreg,regmain,_expreg.ado,ado
_freduse,freduse,_freduse.ado,ado
_freduse2,freduse,_freduse2.ado,ado
_fredweb,freduse,_fredweb.ado,ado
_ftruncreg_p,simarwilson,_ftruncreg_p.ado,ado
_het_did_gmm,drdid,_het_did_gmm.ado,ado
_init_options,sls,_init_options.ado,ado
_ipwlogit_svy,ipwlogit,_ipwlogit_svy.ado,ado
_isograph,isograph,_isograph.ado,ado
_ivcrc_estimator,ivcrc,_ivcrc_estimator.ado,ado
_jprcout,contrast,_jprcout.ado,ado
_kdens,kdens,_kdens.ado,ado
_laplaceden,regmain,_laplaceden.ado,ado
_laplaceevaluator,regmain,_laplaceevaluator.ado,ado
_laplacereg,regmain,_laplacereg.ado,ado
_lcauchyevaluator,regmain,_lcauchyevaluator.ado,ado
_lcauchyreg,regmain,_lcauchyreg.ado,ado
_ldecomp,ldecomp,_ldecomp.ado,ado
_lnevaluator,regmain,_lnevaluator.ado,ado
_lnmor_svyb,lnmor,_lnmor_svyb.ado,ado
_lnmor_svyr,lnmor,_lnmor_svyr.ado,ado
_lnreg,regmain,_lnreg.ado,ado
_ltevaluator,regmain,_ltevaluator.ado,ado
_ltreg,regmain,_ltreg.ado,ado
_matau2,meta_analysis,_matau2.ado,ado
_matchval,alorenz,_matchval.ado,ado
_mi_ESTIMATE,mitools,_mi_ESTIMATE.ado,ado
_mi_RUBIN,mitools,_mi_RUBIN.ado,ado
_mi_unique,mitools,_mi_unique.ado,ado
_mici_bin,mitools,_mici_bin.ado,ado
_mpitb_assoc,mpitb,_mpitb_assoc.ado,ado
_mpitb_ctyselect,mpitb,_mpitb_ctyselect.ado,ado
_mpitb_est,mpitb,_mpitb_est.ado,ado
_mpitb_estcot,mpitb,_mpitb_estcot.ado,ado
_mpitb_gafvars,mpitb,_mpitb_gafvars.ado,ado
_mpitb_refsh,mpitb,_mpitb_refsh.ado,ado
_mpitb_rframe,mpitb,_mpitb_rframe.ado,ado
_mpitb_set,mpitb,_mpitb_set.ado,ado
_mpitb_setwgts,mpitb,_mpitb_setwgts.ado,ado
_mpitb_show,mpitb,_mpitb_show.ado,ado
_mpitb_stores,mpitb,_mpitb_stores.ado,ado
_mrsvmat,mrtab,_mrsvmat.ado,ado
_mvis,mice,_mvis.ado,ado
_nargs,subsim_2,_nargs.ado,ado
_normalevaluator,regmain,_normalevaluator.ado,ado
_normalreg,regmain,_normalreg.ado,ado
_oaxaca9,oaxaca9,_oaxaca9.ado,ado
_olsci,grqreg,_olsci.ado,ado
_parameters,wbopendata,_parameters.ado,ado
_parmest,mitools,_parmest.ado,ado
_pcmdif,pcmdif,_pcmdif.ado,ado
_pecats,crtest,_pecats.ado,ado
_pecats2,hoi,_pecats2.ado,ado
_pecatsal,alorenz,_pecatsal.ado,ado
_prefix_display,twopm,_prefix_display.ado,ado
_pyparse,pystacked,_pyparse.ado,ado
_qregsel,qregsel,_qregsel.ado,ado
_qregtrace,grqreg,_qregtrace.ado,ado
_query,wbopendata,_query.ado,ado
_query_indicators,wbopendata,_query_indicators.ado,ado
_query_metadata,wbopendata,_query_metadata.ado,ado
_regsen_breakfront_plot,regsensitivity,_regsen_breakfront_plot.ado,ado
_regsen_display,regsensitivity,_regsen_display.ado,ado
_regsen_idset_plot,regsensitivity,_regsen_idset_plot.ado,ado
_regsen_write_scalar_table,regsensitivity,_regsen_write_scalar_table.ado,ado
_regsen_write_table_header,regsensitivity,_regsen_write_table_header.ado,ado
_regsen_write_tuples,regsensitivity,_regsen_write_tuples.ado,ado
_robksm,adjksm,_robksm.ado,ado
_scauchyden,regmain,_scauchyden.ado,ado
_scauchyevaluator,regmain,_scauchyevaluator.ado,ado
_scauchyreg,regmain,_scauchyreg.ado,ado
_segb2den,regmain,_segb2den.ado,ado
_segb2evaluator,regmain,_segb2evaluator.ado,ado
_segb2reg,regmain,_segb2reg.ado,ado
_set2logic,ckvar,_set2logic.ado,ado
_sgedden,regmain,_sgedden.ado,ado
_sgedevaluator,regmain,_sgedevaluator.ado,ado
_sgedreg,regmain,_sgedreg.ado,ado
